,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_25,-37.99241,-57.60299,https://departamento.mercadolibre.com.ar/MLA-1100637604-alquiler-con-piscina-mar-del-plata-para-2-personas-_JM,Alquiler Con Piscina Mar Del Plata Para 2 Personas,Departamento,3000.0,ARS,1200,1
1,2021_10_25,-37.998604,-57.546635,https://departamento.mercadolibre.com.ar/MLA-1100684421-departamento-2-ambientes-alquiler-temporario-para-4-personas-_JM,Departamento 2 Ambientes Alquiler Temporario Para 4 Personas,Departamento,2500.0,ARS,40,2
2,2021_10_25,-37.992023,-57.54921,https://departamento.mercadolibre.com.ar/MLA-1100906225-alquilo-2-deptos-1-amb-zona-la-perla-para-4-personas-_JM,Alquilo 2 Deptos. 1 Amb Zona La Perla Para 4 Personas,Departamento,3000.0,ARS,25,1
3,2021_10_25,-38.008667,-57.54016,https://departamento.mercadolibre.com.ar/MLA-1101121150-alquiler-temporario-en-mar-del-plata-_JM,Alquiler Temporario En Mar Del Plata,Departamento,1800.0,ARS,35,2
4,2021_10_25,-38.00468,-57.544178,https://departamento.mercadolibre.com.ar/MLA-1101300950-2-ambfrente-al-casino-cable-wifi-vista-al-mar-1111-_JM,2 Amb.frente Al Casino Cable Wifi. Vista  Al Mar 1111,Departamento,1111.0,ARS,45,2
5,2021_10_25,-38.002003,-57.54207,https://departamento.mercadolibre.com.ar/MLA-1101753937-mar-del-plata-1-amb-div-frte-al-mar-centro-playa-bristol-_JM,Mar Del Plata 1 Amb. Div. Frte Al Mar  Centro Playa Bristol,Departamento,2800.0,ARS,32,1
6,2021_10_25,-38.066944,-57.543056,https://departamento.mercadolibre.com.ar/MLA-1101773801-semipiso-de-77-metros-a-150-metros-del-mar-_JM,Semipiso De 77 Metros A 150 Metros Del Mar,Departamento,3500.0,ARS,90,2
7,2021_10_25,-38.006493,-57.553974,https://departamento.mercadolibre.com.ar/MLA-1101810276-departamento-alquiler-temporal-san-luis-2557-_JM,Departamento Alquiler Temporal San Luis 2557,Departamento,6000.0,ARS,55,2
8,2021_10_25,-38.07092,-57.556145,https://departamento.mercadolibre.com.ar/MLA-1101823294-gran-semipiso-de-cuatro-ambientes-con-vista-al-mar-_JM,Gran Semipiso De Cuatro Ambientes Con Vista Al Mar,Departamento,6000.0,ARS,150,4
9,2021_10_25,-38.005478,-57.54261,https://departamento.mercadolibre.com.ar/MLA-1101933096-mar-del-plata-vista-al-mar-temp-2022-miramarchapadmalal-_JM,"Mar Del Plata Vista Al Mar ,temp. 2022 Miramar,chapadmalal",Departamento,22000.0,ARS,800,2
10,2021_10_25,-38.027794,-57.53232,https://departamento.mercadolibre.com.ar/MLA-1102032454-departamento-playa-grande-frente-al-golf-a-1-cuadra-de-alem-_JM,Departamento Playa Grande Frente Al Golf A 1 Cuadra De Alem,Departamento,150.0,USD,120,4
11,2021_10_25,-38.077133,-57.547966,https://departamento.mercadolibre.com.ar/MLA-1102105073-departamento-con-cochera-2-cuadras-playa-punta-mogotes-wi-fi-_JM,Departamento Con Cochera 2 Cuadras Playa Punta Mogotes Wi Fi,Departamento,8500.0,ARS,50,2
12,2021_10_25,-38.027794,-57.53232,https://departamento.mercadolibre.com.ar/MLA-1102264542-playa-grande-alquiler-_JM,Playa Grande Alquiler,Departamento,18000.0,ARS,75,2
13,2021_10_25,-34.915794,-57.945957,https://departamento.mercadolibre.com.ar/MLA-1102517319-departamentos-de-alquiler-temporario-_JM,Departamentos De Alquiler Temporario,Departamento,2500.0,ARS,55,3
14,2021_10_25,-34.91131,-57.941177,https://departamento.mercadolibre.com.ar/MLA-1103013535-departamento-de-alquiler-temporario-palacio-del-bosque-_JM,Departamento De Alquiler Temporario Palacio Del Bosque ,Departamento,3200.0,ARS,60,2
15,2021_10_25,-38.005344,-57.54883,https://departamento.mercadolibre.com.ar/MLA-1103159076-alquiler-36-meses-piso-4-ambientes-con-cochera-plaza-mitre-_JM,Alquiler 36 Meses. Piso 4 Ambientes Con Cochera. Plaza Mitre,Departamento,110000.0,ARS,140,4
16,2021_10_25,-37.987823,-57.544968,https://departamento.mercadolibre.com.ar/MLA-1103461265-alquilo-departamento-zona-la-perla-_JM,Alquilo Departamento Zona La Perla,Departamento,2500.0,ARS,26,1
17,2021_10_25,-34.909794,-57.95556,https://departamento.mercadolibre.com.ar/MLA-1103780942-alquilo-particular-plaza-italia-_JM,Alquilo Particular. Plaza Italia,Departamento,23000.0,ARS,50,2
18,2021_10_25,-34.91066,-57.955204,https://departamento.mercadolibre.com.ar/MLA-1103800343-alquilo-particular-departamento-_JM,Alquilo Particular Departamento,Departamento,25000.0,ARS,52,2
19,2021_10_25,-38.018864,-57.548523,https://departamento.mercadolibre.com.ar/MLA-1103954910-alquiler-mar-del-plata-depto-temporario-zona-guemes-_JM,Alquiler Mar Del  Plata Depto Temporario Zona Güemes ,Departamento,6000.0,ARS,70,3
20,2021_10_25,-38.087116,-57.543118,https://casa.mercadolibre.com.ar/MLA-1104001364-departamento-loft-45-pers-mar-del-plata-frente-al-mar-faro-_JM,"Departamento Loft 4/5 Pers Mar Del Plata Frente Al Mar, Faro",Casa,7000.0,ARS,65,1
21,2021_10_25,-37.994514,-57.54462,https://inmueble.mercadolibre.com.ar/MLA-1104028425-depto-frente-al-mar-con-bajada-a-la-playa-_JM,Depto  Frente Al Mar Con Bajada A La Playa,Otro inmueble,5000.0,ARS,60,
22,2021_10_25,-38.07859,-57.54768,https://departamento.mercadolibre.com.ar/MLA-1104086020-dptos-2-y-3-amb-nuevos-pta-mogotes-_JM,Dptos 2 Y 3 Amb Nuevos!!! Pta Mogotes,Departamento,3000.0,ARS,55,2
23,2021_10_25,-38.028862,-57.53542,https://departamento.mercadolibre.com.ar/MLA-1104236679-piso-en-tres-plantas-4-amb-playa-grande-_JM,Piso En Tres Plantas 4 Amb. Playa Grande,Departamento,1500.0,USD,270,4
24,2021_10_25,-34.892075,-58.008945,https://departamento.mercadolibre.com.ar/MLA-1104272828-alquiler-de-lote-ideal-emprendimientos-comerciales-_JM,"Alquiler De Lote, Ideal Emprendimientos Comerciales.",Departamento,380000.0,ARS,2800,0
25,2021_10_25,-38.00396,-57.547047,https://departamento.mercadolibre.com.ar/MLA-1104315702-luminoso-depto-de-un-ambiente-en-pleno-centro-de-la-ciudad-_JM,Luminoso Depto De Un Ambiente En Pleno Centro De La Ciudad,Departamento,300.0,ARS,28,1
26,2021_10_25,-38.000175,-57.543453,https://departamento.mercadolibre.com.ar/MLA-1104368319-alquiler-depto-mar-del-plata-centro-vista-al-mar-_JM,Alquiler Depto Mar Del Plata Centro Vista Al Mar,Departamento,7500.0,ARS,90,4
27,2021_10_25,-38.103477,-57.567257,https://departamento.mercadolibre.com.ar/MLA-1104522426-alquiler-temporario-barrio-alfar-_JM,Alquiler Temporario Barrio Alfar,Departamento,6500.0,ARS,40,2
28,2021_10_25,-37.98857,-57.5581,https://departamento.mercadolibre.com.ar/MLA-1104552143-alquiler-temporal-depto-2-amb-la-perla-a-2-cuadras-del-mar-_JM,Alquiler Temporal Depto 2 Amb. La Perla A 2 Cuadras Del Mar,Departamento,4500.0,ARS,60,2
29,2021_10_25,-37.9887,-57.548065,https://departamento.mercadolibre.com.ar/MLA-1104623269-alquilo-departamento-3-ambientes-a-tres-cuadras-del-mar-_JM,Alquilo Departamento 3 Ambientes A Tres Cuadras Del Mar,Departamento,2500.0,ARS,85,3
30,2021_10_25,-38.10722,-57.579407,https://departamento.mercadolibre.com.ar/MLA-1104627264-departamentos-de-1-amb-para-4-y-de-2-para-6-o-7-como-maximo-_JM,Departamentos De 1 Amb Para 4 Y De 2 Para 6 O 7 Como Maximo,Departamento,2800.0,ARS,40,1
31,2021_10_25,-38.026188,-57.533882,https://departamento.mercadolibre.com.ar/MLA-1104996532-departamento-temporario-pb-mar-del-plata-palya-grande-_JM,Departamento Temporario Pb Mar Del Plata  Palya Grande,Departamento,15000.0,ARS,60,3
32,2021_10_25,-38.006542,-57.541817,https://departamento.mercadolibre.com.ar/MLA-1105112951-alquilo-dpto-4-personas-frente-hotel-provincial-leer-bien-_JM,Alquilo Dpto 4 Personas Frente Hotel Provincial. (leer Bien),Departamento,4000.0,ARS,42,2
33,2021_10_25,-38.000134,-57.54759,https://departamento.mercadolibre.com.ar/MLA-1105115110-cordoba-1800-centro-1200-_JM,Cordoba 1800 Centro $ 1200,Departamento,1200.0,ARS,30,2
34,2021_10_25,-38.002403,-57.547955,https://departamento.mercadolibre.com.ar/MLA-1105127788-moreno-2500-centro-1000-_JM,"Moreno 2500 Centro $ 1,000",Departamento,1200.0,ARS,38,2
35,2021_10_25,-38.093426,-57.55744,https://departamento.mercadolibre.com.ar/MLA-1105153698-alquiler-temporario-mar-del-plata-playas-del-sur-_JM,"Alquiler Temporario Mar Del Plata, Playas Del Sur. ",Departamento,4000.0,ARS,37,2
36,2021_10_25,-38.09173,-57.544888,https://departamento.mercadolibre.com.ar/MLA-1105207076-faro-duplex-6-y-4-ps-solo-familias-a-mts-de-playa-y-aquarium-_JM,Faro Duplex 6 Y 4 Ps Solo Familias A Mts De Playa Y Aquarium,Departamento,5500.0,ARS,80,3
37,2021_10_25,-37.99184,-57.546623,https://departamento.mercadolibre.com.ar/MLA-1105262157-2-amb-vista-al-mar-4-pers-_JM,2 Amb. Vista Al Mar - 4 Pers,Departamento,6000.0,ARS,35,2
38,2021_10_25,-38.008667,-57.54016,https://departamento.mercadolibre.com.ar/MLA-1105311791-departamento-en-mar-del-plata--_JM,Departamento En Mar Del Plata-,Departamento,5000.0,ARS,30,1
39,2021_10_25,-38.00994,-57.53775,https://departamento.mercadolibre.com.ar/MLA-1105495777-alquiler-temporario-departamento-mar-del-plata-_JM,Alquiler Temporario Departamento Mar Del Plata,Departamento,3000.0,ARS,30,2
40,2021_10_25,-38.098362,-57.563972,https://departamento.mercadolibre.com.ar/MLA-1105651382-alquiler-departamento-mar-del-plata-frente-al-casino-_JM,Alquiler Departamento Mar Del Plata Frente Al Casino,Departamento,3500.0,ARS,40,2
41,2021_10_25,-38.01563,-57.53202,https://departamento.mercadolibre.com.ar/MLA-1105665194-hermoso-deparmento-de-2-ambientes-con-vista-al-mar-_JM,Hermoso Deparmento De 2 Ambientes Con Vista Al Mar,Departamento,8000.0,ARS,57,2
42,2021_10_25,-34.929424,-57.94603,https://departamento.mercadolibre.com.ar/MLA-1105855837-alquilo-particular-amueblado-completo-plaza-italia-_JM,Alquilo Particular (amueblado Completo). Plaza Italia,Departamento,49000.0,ARS,75,3
43,2021_10_25,-38.009266,-57.541218,https://departamento.mercadolibre.com.ar/MLA-1105912548-departamento-mar-del-plata-2-cuadras-de-la-playa-impecable-_JM,Departamento Mar Del Plata. 2 Cuadras De La Playa! Impecable,Departamento,5000.0,ARS,1,4
44,2021_10_25,-38.00904,-57.538788,https://departamento.mercadolibre.com.ar/MLA-1105962775-vista-al-mar-2-ambientes-en-contrafrente-1-cuadra-del-mar-_JM,Vista Al Mar - 2 Ambientes En Contrafrente  1 Cuadra Del Mar,Departamento,3000.0,ARS,35,2
45,2021_10_25,-38.013687,-57.538815,https://departamento.mercadolibre.com.ar/MLA-1105971737-miniambiente-bonito-centrico-completo-frente-al-mar-_JM,"Miniambiente Bonito, Céntrico, Completo Frente Al Mar!!!",Departamento,3000.0,ARS,21,1
46,2021_10_25,-38.008118,-57.539013,https://departamento.mercadolibre.com.ar/MLA-1105994026-3-amb-vista-al-mar-wifi-cable-smart-tv43-_JM,"3 Amb. Vista Al Mar, Wifi, Cable, Smart Tv43",Departamento,4999.0,ARS,56,3
47,2021_10_25,-38.001217,-57.54387,https://departamento.mercadolibre.com.ar/MLA-1106038627-corrientes-1700-esquina-peatonal-san-martin-_JM,Corrientes 1700 Esquina Peatonal San Martin,Departamento,3800.0,ARS,50,2
48,2021_10_25,-38.00197,-57.542023,https://departamento.mercadolibre.com.ar/MLA-1106047655-departamento-4-personas-balcon-frente-al-mar-peatonal-_JM,Departamento 4 Personas Balcón Frente Al Mar Peatonal,Departamento,4000.0,ARS,45,2
49,2021_10_25,-37.999043,-57.554943,https://departamento.mercadolibre.com.ar/MLA-1106093806-alquiler-por-temporada-depto-3-ambientes-mar-del-plata-_JM,Alquiler Por Temporada Depto 3 Ambientes Mar Del Plata,Departamento,15000.0,ARS,90,3
50,2021_10_25,-37.99222,-57.545322,https://departamento.mercadolibre.com.ar/MLA-1106343151-departament-frente-al-mar-alquiler-minimo-quincena-temp2022-_JM,Departament Frente Al Mar-alquiler Minimo Quincena $temp2022,Departamento,5500.0,ARS,30,1
51,2021_10_25,-38.00863,-57.534264,https://departamento.mercadolibre.com.ar/MLA-1106480442-alquiler-temporada-2022-alquilamos-semana-quincena-o-mes-_JM,Alquiler Temporada 2022 - Alquilamos Semana  - Quincena O Mes,Departamento,8000.0,ARS,50,2
52,2021_10_25,-38.008183,-57.54551,https://departamento.mercadolibre.com.ar/MLA-1106499689-alquiler-temporada-2022-alquilamos-semana-quincena-o-mes-completo-departamento-en-alq-x-temp-_JM,Alquiler Temporada 2022 - Alquilamos - Semana - Quincena O Mes Completo. Departamento En Alq X Temp.,Departamento,4500.0,ARS,40,2
53,2021_10_25,-38.00574,-57.547707,https://departamento.mercadolibre.com.ar/MLA-1106499690-alquiler-temporada-2022-alquilamos-semana-quince-y-mes--_JM,Alquiler Temporada 2022 - Alquilamos Semana - Quince Y Mes-,Departamento,4500.0,ARS,40,2
54,2021_10_25,-38.00574,-57.547707,https://departamento.mercadolibre.com.ar/MLA-1106499692-alquiler-temporada-2022-alquilamos-semana-quincena-y-mes-completo-_JM,Alquiler Temporada 2022  - Alquilamos - Semana - Quincena Y Mes Completo,Departamento,2800.0,ARS,30,1
55,2021_10_25,-38.00395,-57.549282,https://departamento.mercadolibre.com.ar/MLA-1106506204-alquiler-temporada-2022-alquilamos-semana-quincena-o-mes-completo-departamento-en-alq-x-temp-_JM,Alquiler Temporada 2022 - Alquilamos - Semana - Quincena O Mes Completo. Departamento En Alq X Temp.,Departamento,4900.0,ARS,45,2
56,2021_10_25,-38.00912,-57.54604,https://departamento.mercadolibre.com.ar/MLA-1106506214-alquiler-temporada-2022-alquilamos-semana-quincena-o-mes-completo-_JM,Alquiler Temporada 2022- Alquilamos - Semana - Quincena O Mes Completo ,Departamento,3800.0,ARS,40,2
57,2021_10_25,-38.004456,-57.546078,https://departamento.mercadolibre.com.ar/MLA-1106512708-alquiler-temporada-2022-alquilamos-semana-quincena-o-mes-completo-departamento-en-alq-x-temp-_JM,Alquiler Temporada 2022 - Alquilamos - Semana - Quincena O Mes Completo. Departamento En Alq X Temp.,Departamento,3500.0,ARS,30,1
58,2021_10_25,-38.008873,-57.54596,https://departamento.mercadolibre.com.ar/MLA-1106512712-alquiler-temporada-2022-alquilamos-quincena-o-mes-completo--_JM,Alquiler Temporada 2022 - Alquilamos Quincena O Mes Completo-,Departamento,18000.0,ARS,70,3
59,2021_10_25,-38.006916,-57.545815,https://departamento.mercadolibre.com.ar/MLA-1106525505-alquiler-temporada-2022-alquilamos-semana-quincena-o-mes-completo-_JM,Alquiler Temporada 2022 - Alquilamos - Semana - Quincena O Mes Completo,Departamento,3700.0,ARS,30,1
60,2021_10_25,-38.009575,-57.53851,https://departamento.mercadolibre.com.ar/MLA-1106569643-alquilo-departamento-2-ambientes-temporada-2022-zona-guemes-_JM,Alquilo Departamento 2 Ambientes Temporada 2022 Zona Guemes ,Departamento,5000.0,ARS,42,2
61,2021_10_25,-38.02423,-57.531136,https://departamento.mercadolibre.com.ar/MLA-1106614824-departamento-con-excelente-ubicacion-y-vista-al-mar-_JM,Departamento Con Excelente Ubicación Y Vista Al Mar,Departamento,130.0,USD,140,5
62,2021_10_25,-38.00852,-57.539444,https://departamento.mercadolibre.com.ar/MLA-1106627787-alquilo-departamento-mar-del-plata-verano-20212022-_JM,Alquilo Departamento Mar Del Plata Verano 2021/2022,Departamento,3500.0,ARS,23,1
63,2021_10_25,,,https://departamento.mercadolibre.com.ar/MLA-1106665025-departamento-frente-al-torreon-maral-34-_JM,Departamento Frente Al Torreon-maral 34,Departamento,4000.0,ARS,50,2
64,2021_10_25,-38.014256,-57.530678,https://departamento.mercadolibre.com.ar/MLA-1106707010-dpto-exclusivo-a-1-paso-del-mar-ideal-vacaciones-_JM,Dpto Exclusivo.. A 1 Paso Del Mar ...ideal Vacaciones,Departamento,5800.0,ARS,55,2
65,2021_10_25,-38.000904,-57.543636,https://departamento.mercadolibre.com.ar/MLA-1106753157-alquilo-departamento-mar-del-plata-_JM,Alquilo Departamento Mar Del Plata,Departamento,4000.0,ARS,30,1
66,2021_10_25,-38.09595,-57.56898,https://casa.mercadolibre.com.ar/MLA-1106774318-deptos-en-alfar-playdel-sur-temporada-20-21-_JM,Deptos En Alfar - Playdel Sur - Temporada 20-21,Casa,6500.0,ARS,90,
67,2021_10_25,-37.984848,-57.54506,https://departamento.mercadolibre.com.ar/MLA-1106781278-departamento-mar-del-plata-frente-mar-2-dor1-y-12-ban-_JM,Departamento Mar Del Plata Frente Mar. 2 Dor.1 Y 1/2 Bañ.,Departamento,5000.0,ARS,83,3
68,2021_10_25,-38.008987,-57.546288,https://departamento.mercadolibre.com.ar/MLA-1106794095-alquilo-monoambiente-xdiatotaylmente-equipadoducha-escoses-_JM,"Alquilo Monoambiente Xdíatotay.lmente Equipado,ducha Escoses",Departamento,6500.0,ARS,30,1
69,2021_10_25,-37.987522,-57.546043,https://departamento.mercadolibre.com.ar/MLA-1106912316-depto-mar-del-plata-en-alq-x-temp-3-amb-2-dorm-garage-_JM,"Depto Mar Del Plata En Alq X Temp. 3 Amb, 2 Dorm, Garage.",Departamento,5000.0,ARS,100,3
70,2021_10_25,-38.066944,-57.543056,https://departamento.mercadolibre.com.ar/MLA-1107016417-depto-vista-panoramica-al-mar-3-amb-p-mogotes-cochera-_JM,Depto Vista Panorámica Al Mar - 3 Amb - P. Mogotes - Cochera,Departamento,8500.0,ARS,70,3
71,2021_10_25,-37.998604,-57.542126,https://departamento.mercadolibre.com.ar/MLA-1107110279-departamento-zona-centrica-punta-iglecia-mar-del-plata-_JM,Departamento Zona Céntrica Punta Iglecia Mar Del Plata,Departamento,18000.0,ARS,105,4
72,2021_10_25,-38.014156,-57.54423,https://departamento.mercadolibre.com.ar/MLA-1107174147-balcon-de-guemes-monoambiente-con-parking-y-balcon-_JM,Balcon De Guemes - Monoambiente Con Parking Y Balcon,Departamento,66.0,ARS,30,1
73,2021_10_25,-38.02698,-57.534626,https://departamento.mercadolibre.com.ar/MLA-1107246247-departamento-100-mts-mar-playa-grande-excelente-ubicacion-_JM,Departamento 100 Mts. Mar. Playa Grande. Excelente Ubicacion,Departamento,7000.0,ARS,30,2
74,2021_10_25,-38.01567,-57.531773,https://departamento.mercadolibre.com.ar/MLA-1107321505-departamento-3-ambientes-frente-al-mar-playa-cabo-corriejtes-_JM,Departamento 3 Ambientes Frente Al Mar Playa Cabo Corriejtes,Departamento,6700.0,ARS,41,3
75,2021_10_25,-38.00805,-57.53923,https://departamento.mercadolibre.com.ar/MLA-1107513363-departamento-4-amb-frente-al-mar-c-cochera-hta-6-personas-_JM,Departamento 4 Amb Frente Al Mar C/ Cochera Hta 6 Personas.,Departamento,3900.0,ARS,85,4
76,2021_10_25,-38.00219,-57.54572,https://departamento.mercadolibre.com.ar/MLA-1107522216-departamento-4-ambientes-3-banos-muy-buena-ubicacion-_JM,"Departamento 4 Ambientes, 3 Baños, Muy Buena Ubicación",Departamento,3800.0,ARS,100,4
77,2021_10_25,-38.00538,-57.546734,https://departamento.mercadolibre.com.ar/MLA-1107579634-alquiler-temporario-mar-del-plata-3-amb-centro-colon-casino-_JM,Alquiler Temporario Mar Del Plata 3 Amb Centro Colon Casino,Departamento,7000.0,ARS,60,3
78,2021_10_25,-38.010952,-57.543434,https://departamento.mercadolibre.com.ar/MLA-1107590507-alquilo-departamento-mar-del-plata-_JM,Alquilo Departamento Mar Del Plata,Departamento,4000.0,ARS,30,1
79,2021_10_25,-38.00715,-57.550056,https://departamento.mercadolibre.com.ar/MLA-1107624625-departamento-de-4-ambientes-90mts-aproximadamente-confort-_JM,"Departamento De 4 Ambientes , 90mts Aproximadamente. Confort",Departamento,11000.0,ARS,94,4
80,2021_10_25,-37.99108,-57.54869,https://departamento.mercadolibre.com.ar/MLA-1107632071-departamento-tres-ambientes-c-cochera-la-perla-_JM,Departamento Tres Ambientes C/ Cochera - La Perla,Departamento,5000.0,ARS,75,3
81,2021_10_25,-38.025917,-57.53575,https://departamento.mercadolibre.com.ar/MLA-1107661740-departamento-en-playa-grande-_JM,Departamento En Playa Grande ,Departamento,8000.0,ARS,35,2
82,2021_10_25,-38.103664,-57.57086,https://departamento.mercadolibre.com.ar/MLA-1107680959-alquiler-con-piscina-mar-del-plata-6-personas-_JM,Alquiler Con Piscina Mar Del Plata 6 Personas,Departamento,8000.0,ARS,1200,3
83,2021_10_25,-38.003506,-57.550156,https://departamento.mercadolibre.com.ar/MLA-1107738192-1-amb-45-personas-en-mar-del-plata-av-colon-al-frente-_JM,1 Amb 4/5 Personas En Mar Del Plata Av Colon Al Frente,Departamento,3300.0,ARS,35,1
84,2021_10_25,-38.00596,-57.553455,https://departamento.mercadolibre.com.ar/MLA-1107764488-departamento-centro-3-ambientes-6-pers-cable-wifi-_JM,Departamento Centro - 3 Ambientes - 6 Pers. - Cable + Wifi,Departamento,7500.0,ARS,70,3
85,2021_10_25,-38.007328,-57.544834,https://departamento.mercadolibre.com.ar/MLA-1107862612-alquiler-temporada-2022-semana-quincena-mes-_JM,Alquiler Temporada 2022 - Semana - Quincena - Mes,Departamento,3800.0,ARS,27,1
86,2021_10_25,-37.998707,-57.55151,https://departamento.mercadolibre.com.ar/MLA-1107874489-balcon-de-la-diagonal-2amb-balcon-terraza-incorporado-_JM,Balcon De La Diagonal . 2amb. Balcon - Terraza Incorporado,Departamento,66.0,ARS,48,2
87,2021_10_25,-38.008,-57.53334,https://departamento.mercadolibre.com.ar/MLA-1107948601-excelente-ubicacion-2-ambientes-alquiler-temporario-_JM,Excelente Ubicacion 2 Ambientes Alquiler Temporario,Departamento,4000.0,ARS,54,2
88,2021_10_25,-38.008,-57.53334,https://departamento.mercadolibre.com.ar/MLA-1107956901-a-torreon-mar-del-plata-viamonte-2100-3-amb-75m-coch-pileta-_JM,A Torreon Mar Del Plata Viamonte 2100 3 Amb 75m Coch Pileta,Departamento,8000.0,ARS,75,3
89,2021_10_25,-38.088192,-57.54867,https://departamento.mercadolibre.com.ar/MLA-1107962834-departamento-alquiler-temporario-3-amb-mar-del-plata-_JM,Departamento. Alquiler Temporario 3 Amb Mar Del Plata,Departamento,25000.0,ARS,80,3
90,2021_10_25,-37.972355,-57.5594,https://departamento.mercadolibre.com.ar/MLA-1107980751-alquiler-temporario-_JM,Alquiler Temporario,Departamento,12000.0,ARS,330,4
91,2021_10_25,-38.01929,-57.527767,https://departamento.mercadolibre.com.ar/MLA-1107981593-alquiler-temporario-dumbledore-residence-_JM,Alquiler Temporario Dumbledore Residence,Departamento,19200.0,ARS,100,3
92,2021_10_25,-37.9902,-57.546627,https://departamento.mercadolibre.com.ar/MLA-1107991715-alquiler-dos-ambientes-la-perla-_JM,Alquiler Dos Ambientes La Perla,Departamento,11500.0,ARS,80,2
93,2021_10_25,-38.008068,-57.54142,https://departamento.mercadolibre.com.ar/MLA-1108006291-departamento-2-amb-mar-del-plata-6-pax-1-cuadra-del-mar-_JM,Departamento 2 Amb Mar Del Plata 6 Pax 1 Cuadra Del Mar,Departamento,5000.0,ARS,50,2
94,2021_10_25,-38.008724,-57.536118,https://departamento.mercadolibre.com.ar/MLA-1108046774-alquiler-temporario-_JM,Alquiler Temporario,Departamento,4200.0,ARS,35,2
95,2021_10_25,-37.960075,-57.540546,https://departamento.mercadolibre.com.ar/MLA-1108071579-monoambiente-equipado-para-4-pax-_JM,Monoambiente Equipado Para 4 Pax,Departamento,3500.0,ARS,33,1
96,2021_10_25,-38.006824,-57.54172,https://departamento.mercadolibre.com.ar/MLA-1108135423-departamento-excepcional-con-cochera-frente-al-mar-_JM,Departamento Excepcional Con Cochera Frente Al Mar,Departamento,10000.0,ARS,90,3
97,2021_10_25,-37.990917,-57.54568,https://departamento.mercadolibre.com.ar/MLA-1108155677-alquiler-temporario-_JM,Alquiler Temporario,Departamento,5000.0,ARS,38,2
98,2021_10_25,-37.9902,-57.546627,https://departamento.mercadolibre.com.ar/MLA-1108195501-alquiler-tres-ambientes-la-perla-_JM,Alquiler Tres Ambientes La Perla,Departamento,26000.0,ARS,120,3
99,2021_10_25,-38.00852,-57.539444,https://departamento.mercadolibre.com.ar/MLA-1108201129-zona-torreon-departamento-monoambiente-ideal-para-renta-_JM,Zona Torreon. Departamento Monoambiente Ideal Para Renta.,Departamento,47000.0,USD,32,1
100,2021_10_25,-34.929424,-57.94603,https://departamento.mercadolibre.com.ar/MLA-1108270284-alquilo-particular-amueblado-completo-plaza-italia-_JM,Alquilo Particular (amueblado Completo). Plaza Italia,Departamento,39000.0,ARS,55,2
101,2021_10_25,-38.006367,-57.549274,https://departamento.mercadolibre.com.ar/MLA-1108354253-alquiler-temporada-2022-_JM,Alquiler Temporada 2022,Departamento,4200.0,ARS,30,2
102,2021_10_25,-38.010925,-57.54326,https://departamento.mercadolibre.com.ar/MLA-1108364493-alquiler-dpto-mar-del-plata-tres-amb-c-cochera-enero-y-feb-_JM,Alquiler Dpto Mar Del Plata Tres Amb. C/ Cochera Enero Y Feb,Departamento,8000.0,ARS,72,3
103,2021_10_25,-38.002403,-57.547955,https://departamento.mercadolibre.com.ar/MLA-1108366735-alquiler-temporada-2022-_JM,Alquiler Temporada 2022,Departamento,5200.0,ARS,40,2
104,2021_10_25,-38.008156,-57.54575,https://departamento.mercadolibre.com.ar/MLA-1108383654-alquiler-departamento-dos-ambientes-mar-del-plata-_JM,Alquiler Departamento Dos Ambientes Mar Del Plata ,Departamento,6000.0,ARS,46,2
105,2021_10_25,,,https://departamento.mercadolibre.com.ar/MLA-1108467075-departamento-edificio-havanna-_JM,Departamento Edificio Havanna,Departamento,8000.0,ARS,80,4
106,2021_10_25,-37.988205,-57.549038,https://departamento.mercadolibre.com.ar/MLA-1108472867-alquilo-departamento-en-mar-del-plata-costa-3-ambientes-_JM,Alquilo Departamento En Mar Del Plata Costa 3 Ambientes,Departamento,2500.0,ARS,85,3
107,2021_10_25,-38.087894,-57.55141,https://departamento.mercadolibre.com.ar/MLA-1108570928-alquiler-departamento-mar-del-plata-zona-sur-_JM,"Alquiler Departamento Mar Del Plata, Zona Sur",Departamento,2800.0,ARS,55,1
108,2021_10_25,-38.008896,-57.53973,https://departamento.mercadolibre.com.ar/MLA-1108582523-alquiler-mar-del-plata-temporada-departamento-4amb-vista-mar-_JM,Alquiler Mar Del Plata Temporada Departamento 4amb Vista Mar,Departamento,13000.0,ARS,80,4
109,2021_10_25,-37.995995,-57.54651,https://departamento.mercadolibre.com.ar/MLA-1108583936-dno-alquila-depto-3-amb-al-frente-la-perla-3-cuadras-mar-_JM,"Dño Alquila Depto 3 Amb Al Frente, La Perla, 3 Cuadras Mar",Departamento,3000.0,ARS,75,3
110,2021_10_25,-38.00863,-57.534264,https://departamento.mercadolibre.com.ar/MLA-1108669750-depto-frente-a-las-playas-del-torreon-del-monje-_JM,Depto Frente A Las Playas Del Torreon Del Monje,Departamento,10000.0,ARS,1,2
111,2021_10_25,-38.00395,-57.549282,https://departamento.mercadolibre.com.ar/MLA-1108688834-alquiler-temporada-2022-_JM,Alquiler Temporada 2022,Departamento,4000.0,ARS,27,1
